opis_id,name,address,city,state,lat,lon,price_per_gallon,geocode_source
559,SHELL MORGAN ROAD TRUCK STOP,"I-40, EXIT 142",Maumelle,AR,34.8491,-92.4059,3.20733333,city_centroid
566,TA GARY TRAVEL CENTER,"I-80/I-94, EXIT 6",Gary,IN,41.57944,-87.33971,3.83066666,city_centroid
567,TA ELOY TRAVEL CENTER,"I-10 & I-8, EXIT 203",Eloy,AZ,32.7509,-111.5833,3.459,city_centroid
572,PILOT TRAVEL CENTER #881,"I-69, EXIT 309A",Fort Wayne,IN,41.08998,-85.10016,3.879,city_centroid
576,PETRO STOPPING CENTER #343,"I-10, EXIT 76",Egan,LA,30.251,-92.5002,3.624,city_centroid
578,LOVES TRAVEL STOP #449,"I-84, EXIT 17",Troutdale,OR,45.5254,-122.3739,3.779,city_centroid
579,FLYING J TRAVEL PLAZA #764,"I-80, EXIT 104 & US-191",Rock Springs,WY,41.59675,-109.21645,3.67066666,city_centroid
586,AMERISTAR TRAVEL PLAZA #120,"I-82, EXIT 80",Prosser,WA,46.2232,-119.771,4.399,city_centroid
588,TA TUSCALOOSA TRAVEL CENTER,"I-20/I-59, EXIT 77",Cottondale,AL,33.1767,-87.3871,2.964,city_centroid
591,TA Concordia Travel Plaza,"I-70, EXIT 58 & SR-23",Concordia,MO,38.9776,-93.5812,3.22566666,city_centroid
599,Sapp Bros Travel Center,"I-80, EXIT 59 & SR-17J",Sidney,NE,41.17925,-102.99075,3.50066666,city_centroid
602,JIFFY MART EXIT 18 TRUCK STOP,"I-89/SR-120, EXIT 18 & SR-120",Lebanon,NH,43.6435,-72.2473,3.599,city_centroid
614,TA MAYBROOK TRAVEL CENTER,"I-84, EXIT 5",Montgomery,NY,41.5333,-74.2534,4.359,city_centroid
628,KWIK FILL #227,"I-90,  EXIT 218",Geneva,OH,41.8029,-80.9474,3.15233333,city_centroid
636,UNION 76,"I-5, EXIT 233 E",Albany,OR,44.639,-123.09515,3.379,city_centroid
651,ONE9 #1366,"I-40, EXIT 126 & US-641",Holladay,TN,35.8951,-88.0912,2.98566666,city_centroid
652,TA KNOXVILLE EAST TRAVEL CENTER,"I-40 & I-75, EXIT 374",Knoxville,TN,35.991520702044,-83.968794555806,3.42566666,census
669,PETRO STOPPING CENTER #350,"I-10,  EXIT 4",Canutillo,TX,31.9344,-106.5929,3.499,city_centroid
672,CROWN POINT TRUCK STOP,"I-295/US-130,EXIT 22",Thorofare,NJ,39.8457,-75.1943,3.549,city_centroid
680,TA EXPRESS SUMMIT,"I-29, EXIT 207 & US-12",Summit,SD,45.3521,-97.0427,3.20566666,city_centroid
684,7-ELEVEN #35101,"I-86/SR-17, EXIT 16",Randolph,NY,42.1631,-78.96,4.499,city_centroid
689,FLYING EAGLE,"I-235, EXIT 4",Wichita,KS,37.69459,-97.34186,3.499,city_centroid
692,BP,US-63,Ottumwa,IA,41.0309,-92.4098,3.399,city_centroid
739,Arco #364420,US-23,Greenup,KY,38.5368,-82.9191,3.649,city_centroid
748,QUIKTRIP #4231,US-85,Evans,CO,40.3803,-104.6971,3.17233333,city_centroid
769,AYERCO #26,US-61/US-136,Alexandria,MO,40.3445,-91.5154,3.01566666,city_centroid
815,Kwik Trip #1508,"US-18/SR-151, EXIT 58",Barneveld,WI,43.0158,-89.9042,3.489,city_centroid
855,SPEEDWAY #7459,US-41 & SR-137,North Chicago,IL,42.379,-87.8165,3.289,city_centroid
863,Ocean Fuel,US-301/SR-73,Sylvania,GA,32.7439,-81.6287,3.499,city_centroid
906,PILOT TRAVEL CENTERS #429,"I-40, EXIT 280",West Memphis,AR,35.14745,-90.1812,3.291,city_centroid
908,CIRCLE K #2704888,"I-65, EXIT 246 & SR-119",Pelham,AL,33.2932,-86.768,3.46566666,city_centroid
912,PETRO STOPPING CENTER #319,"I-20/59,  EXIT 100",Mc Calla,AL,33.2845,-87.1024,3.12566666,city_centroid
936,CASEYS #4254,"I-40, EXIT 129",Conway,AR,35.09428,-92.40042,3.03233333,city_centroid
970,CIRCLE K #2702885,"I-17/SR-60, EXIT 199A",Phoenix,AZ,33.49161,-112.07925,3.39233333,city_centroid
977,PILOT TRAVEL CENTER #328,"I-10, EXIT 17",Quartzsite,AZ,33.69805,-114.21605,3.959,city_centroid
981,STINKER #85,"I-15, EXIT 93",Blackfoot,ID,43.1943,-112.3615,3.53233333,city_centroid
982,CIRCLE K #2701948,"I-8, EXIT 7 & SR-195",Yuma,AZ,32.68054,-114.55854,3.56566666,city_centroid
1028,FOUR STATES TRUCK STOP,"I-495, EXIT 4 & SR-9",New Castle,DE,39.6065,-75.60493,3.399,city_centroid
1042,Union 76,US-441 & SR-100A,Lake City,FL,30.18137,-82.64803,3.56233333,city_centroid
1043,ONE9 #1401,I-75 EXIT 414  & US-41,Lake City,FL,30.18137,-82.64803,3.244,city_centroid
1047,TA MARIANNA TRAVEL CENTER,"I-10/SR-8, EXIT 142 & SR-71",Marianna,FL,30.74493,-85.21457,3.60733333,city_centroid
1075,PILOT TRAVEL CENTER #68,"I-16 /SR-404, EXIT 51 & US-441",Dublin,GA,32.4997,-82.92655,3.399,city_centroid
1106,CIRCLE K #2705367,"I-20, EXIT 172",Thomson,GA,33.4774,-82.4942,3.399,city_centroid
1112,BC AMPRIDE TRUCK PLAZA,US-59/SR-141,Denison,IA,42.0196,-95.3636,3.399,city_centroid
1115,KWIK STAR #704,SR-57/SR-14,Parkersburg,IA,42.5714,-92.7688,3.58233333,city_centroid
1121,TRAVELERS OASIS,"I-84, EXIT 182",Eden,ID,42.5868,-114.2467,3.799,city_centroid
1128,TA CHICAGO NORTH TRAVEL CENTER,"I-94/US-41, EXIT 1",Wadsworth,IL,42.446,-87.904,3.769,city_centroid
1132,SPEEDWAY #7423,"I-57, EXIT 83",Ina,IL,38.1527,-88.8894,3.249,city_centroid
1136,PILOT TRAVEL CENTER #171,"I-74, EXIT 206",Oakwood,IL,40.1167,-87.7825,3.399,city_centroid
1140,CIRCLE K #4701398,"I-55, EXIT 82 & SR-104",Divernon,IL,39.5692,-89.6626,3.499,city_centroid
1149,PILOT TRAVEL CENTER #30,"I-70, EXIT 96",Greenfield,IN,39.7902,-85.8141,3.959,city_centroid
1151,SPEEDWAY #8061,"I-70, EXIT 115 & SR-109",Knightstown,IN,39.806,-85.5261,3.759,city_centroid
1154,CIRCLE K #2704691,SR-71 & CR-214,Cedar Creek,TX,30.0966,-97.4976,3.199,city_centroid
1156,CIRCLE K #4700028,"I-74/US-421, EXIT 116 & SR-44",Shelbyville,IN,39.5043,-85.7875,3.599,city_centroid
1157,One9 #297,"I-70, EXIT 11 & SR-46",Terre Haute,IN,39.46767,-87.389,3.43566666,city_centroid
1158,PILOT TRAVEL CENTERS #36,US-30  & SR-49,Valparaiso,IN,41.430209543415,-87.027166902678,3.859,census
1163,SHORT STOP #13,US-54,Emporia,KS,38.4184,-96.1871,2.839,city_centroid
1176,PILOT TRAVEL CENTERS #353,"I-75, EXIT 129",Georgetown,KY,38.2117,-84.5562,3.20566666,city_centroid
1179,PILOT TRAVEL CENTERS #399,"I-65, EXIT 105",Lebanon Junction,KY,37.8511,-85.7246,3.609,city_centroid
1196,SOUTHERN BELLE TRUCK STOP,US-61 & SR-964,Saint Francisville,LA,30.8694,-91.4186,3.384,city_centroid
1199,ALLTOWN MARKETS #306,"I-190, EXIT 7",Leominster,MA,42.524493294423,-71.75564717925,3.68233333,census
1202,ONE9 #290,"I-95, EXIT 93 & SR-222",Perryville,MD,39.5649,-76.0592,3.599,city_centroid
1204,PETRO STOPPING CENTER #321,"I-70 & I-57, EXIT 159",Effingham,IL,39.1217,-88.5611,3.349,city_centroid
